room_id,time,subject,prof,status,time2,subect2,prof2,status2
센B206,,,,,15:00~16:30,알고리즘및실습,나중채,대기 중
센426,,2021-09-20~2021-09-22  추석연휴입니다,권기학,회의 중,,,,
